### GO-terms (molecular_function)
GO:0016740	GO:0005488	GO:0005198	GO:0003824	GO:0003676	GO:0016787	GO:0000166	GO:0003723	GO:0005515	GO:0008289	GO:0003677
### GO-names (molecular_function)
transferase activity	binding	structural molecule activity	catalytic activity	nucleic acid binding	hydrolase activity	nucleotide binding	RNA binding	protein binding	lipid binding	DNA binding
### GO-terms (biological_process)
GO:0007049	GO:0019538	GO:0008152	GO:0009628	GO:0009416	GO:0009987	GO:0006412	GO:0009058	GO:0015979
### GO-names (biological_process)
cell cycle	protein metabolic process	metabolic process	response to abiotic stimulus	response to light stimulus	cellular process	translation	biosynthetic process	photosynthesis
### GO-terms (cellular_component)
GO:0016020	GO:0009579	GO:0005829	GO:0009536	GO:0005634	GO:0005886	GO:0009507	GO:0005783	GO:0005622	GO:0005739	GO:0005730	GO:0005576	GO:0005737	GO:0005654	GO:0005840	GO:0005856
### GO-names (cellular_component)
membrane	thylakoid	cytosol	plastid	nucleus	plasma membrane	chloroplast	endoplasmic reticulum	intracellular anatomical structure	mitochondrion	nucleolus	extracellular region	cytoplasm	nucleoplasm	ribosome	cytoskeleton
### PDB-chain	GO-terms (molecular_function)	GO-terms (biological_process)	GO-terms (cellular_component)
7RRO-3	GO:0005515,GO:0005488		GO:0005737,GO:0005856,GO:0005622
7UNG-8			GO:0005737,GO:0005856,GO:0005622
8FN4-6	GO:0003676,GO:0005488,GO:0003723		GO:0005737,GO:0016020,GO:0005739,GO:0005622
3J6X-28		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
5NDJ-25	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7VD5-31		GO:0009987,GO:0008152,GO:0015979	GO:0009536,GO:0005737,GO:0016020,GO:0005622
7UNG-2	GO:0005515,GO:0005488		GO:0005737,GO:0005856,GO:0005622
3J7A-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7UOO-8	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
8HTU-3		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7P7Q-1		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7TGH-5			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7ENA-3	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
5XNL-4		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6Y5Q-9	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
6TT7-1	GO:0005488,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
6KAD-2		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
8GZU-91	GO:0003676,GO:0003677,GO:0005488		GO:0005634,GO:0016020,GO:0005622
7A5I-43	GO:0005515,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6W2T-8		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005622
8D9R-3	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003723,GO:0005515		GO:0016020,GO:0005829,GO:0005886,GO:0005622,GO:0005737
3JC2-1			GO:0005737,GO:0016020,GO:0005783,GO:0005622
2FHG-1	GO:0005515,GO:0005488		GO:0005737,GO:0005886,GO:0016020,GO:0005622
6XTX-2	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
7YMI-5		GO:0009987,GO:0008152,GO:0015979	GO:0016020
7R7A-7	GO:0005515,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737
5MP9-5	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
7TM3-2			GO:0005737,GO:0016020,GO:0005783,GO:0005622
7DCO-6	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005622
7ODS-6	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6FEC-8	GO:0005515,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005622
7RRO-7			GO:0016020,GO:0005886,GO:0005622,GO:0005737,GO:0005856
7DCO-4	GO:0003676,GO:0005488,GO:0003723		
6O9M-4	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
3J6X-72		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6OWF-2		GO:0009987,GO:0008152,GO:0015979	
7ABZ-5	GO:0003676,GO:0005488,GO:0003723		GO:0005829,GO:0005737,GO:0005622
5GUP-1			GO:0005737,GO:0016020,GO:0005739,GO:0005622
4CE4-2		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
6O9L-4	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
5U8S-4	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6WM2-2	GO:0005515,GO:0005488		GO:0005886,GO:0016020
5GPN-5			GO:0005737,GO:0016020,GO:0005739,GO:0005622
3JBO-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8JD5-4		GO:0009987	GO:0005886,GO:0016020
6WLW-7	GO:0005515,GO:0005488		GO:0005886,GO:0016020
5H5U-3	GO:0003676,GO:0005488,GO:0003723		
7UNR-7		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7LBM-2	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
6TRC-6		GO:0009987,GO:0008152,GO:0015979	
1M8Q-3	GO:0005488,GO:0003824,GO:0016787,GO:0000166,GO:0005515		GO:0005737,GO:0005856,GO:0005622
6CP3-7			GO:0005737,GO:0016020,GO:0005739,GO:0005622
4WQR-49	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7PZY-5	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
8GWA-4		GO:0009987,GO:0008152,GO:0015979	
5OY0-8		GO:0009987,GO:0008152,GO:0015979	GO:0016020
6YWX-33			GO:0005737,GO:0016020,GO:0005739,GO:0005622
3J6X-14		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654,GO:0005840
6IJO-7		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
3JCR-3	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
7TM3-7			GO:0005737,GO:0016020,GO:0005783,GO:0005622
6B2Z-9	GO:0005488,GO:0008289		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737
5LI0-7		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
1W58-1	GO:0005488,GO:0000166	GO:0007049,GO:0009987	GO:0005737,GO:0005622
3CC2-3	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8B9D-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
5MPP-1	GO:0003824,GO:0016740		GO:0005829,GO:0005737,GO:0005622
7ENC-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0009987,GO:0008152	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654,GO:0005856
7EMF-3	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
6W2S-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
4L6V-6		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
6Q98-5	GO:0003676,GO:0005488,GO:0003723		GO:0005737,GO:0005622
5MRC-7		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3JCO-5	GO:0005515,GO:0005488		GO:0005737,GO:0005634,GO:0016020,GO:0005622
7ASE-5	GO:0005488,GO:0003824,GO:0016787,GO:0000166		
6TRC-5		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
4L6V-2		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
7ENC-8	GO:0016740,GO:0005488,GO:0003824,GO:0000166,GO:0005515	GO:0007049,GO:0009987	GO:0016020,GO:0005829,GO:0005634,GO:0005886,GO:0005622,GO:0005737,GO:0005654
8IPY-1	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005840
7O9M-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
7JG5-6	GO:0003824,GO:0005488,GO:0016787,GO:0008289		GO:0005886,GO:0016020
6I9R-5	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6W2S-7		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
4WRO-22	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6IJJ-8		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
4WZ7-6			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6LSS-6	GO:0005515,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
8ITY-1	GO:0003676,GO:0003677,GO:0005488,GO:0005515		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005654
7B9S-1	GO:0003824,GO:0005488,GO:0016787,GO:0000166		GO:0005886,GO:0016020
6RW4-8	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0016020,GO:0005739,GO:0005622
7OK2-1	GO:0003824,GO:0016740	GO:0008152	GO:0005737,GO:0005622
3J6X-54	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6U42-1	GO:0005488,GO:0000166		GO:0005737,GO:0005856,GO:0005622
7ASN-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6ZVK-13	GO:0003676,GO:0005488,GO:0003723		
8ESW-2			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7UNG-7			GO:0016020,GO:0005886,GO:0005622,GO:0005737,GO:0005856
6I9R-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
3J6X-27	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6TRC-4		GO:0009987,GO:0008152,GO:0015979	
7NHL-1		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
4WQ1-45	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5GAN-5	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005730,GO:0005622
8HTU-4		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7OUI-3		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005783,GO:0005622,GO:0005737
3JCR-8	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
1Y79-1	GO:0003824,GO:0016787		GO:0005829,GO:0005737,GO:0005622
7QI4-6	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6M62-4	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
4ADX-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005840
5H5U-1	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7A01-22		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005783,GO:0005840,GO:0005737,GO:0005622
7S1G-1	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
8FNC-5	GO:0003676,GO:0005488,GO:0003723		GO:0005737,GO:0016020,GO:0005739,GO:0005622
3JA8-4	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
7WTS-5	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
8HTU-5		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
2IHR-1	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005622
7TJY-3	GO:0003824,GO:0005488,GO:0016787,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
6YW5-22			GO:0005737,GO:0016020,GO:0005739,GO:0005622
8HTU-1		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7Y5E-63		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6ZA9-7	GO:0005488,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
6U0M-6	GO:0003676,GO:0003677,GO:0005488		GO:0005634,GO:0016020,GO:0005622
3J6X-53	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7YCA-4		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
3J6B-6			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
3J6X-15	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
4V4M-1	GO:0003676,GO:0005198,GO:0005488,GO:0003723		
